S/N,Coursetitle,Course Code,program,Level,Unit,Semester,Session,venue 
1631,ARTIFICIAL INTELLIGENCE,CSC 209,Computer Science,200,2,First,2023/2024,MOOT
1632,Mathematical Methods I,MTH 201,Computer Science,200,2,First,2023/2024,MOOT
1633,Electric Circuits and Introductory Electronics,PHY 201,Computer Science,200,3,First,2023/2024,MOOT
1634,Peace Studies and Conflict Resolution,GST 221,Computer Science,200,2,First,2023/2024,MOOT
1635,INTRODUCTION TO ENTREPRENEURSHIP,GST 223,Computer Science,200,2,First,2023/2024,MOOT
1636,BASIC SPIRITUAL THEOLOGY,GST 211,Computer Science,200,1,First,2023/2024,MOOT
1637,DATA SCIENCE AND BIG DATA,CSC 211,Computer Science,200,2,First,2023/2024,MOOT
1638,Electric Circuits and Introductory Electronics,PHY 223,Computer Science,200,2,First,2023/2024,MOOT
1639,Artificial Intelligence,CSC 219,Computer Science,200,2,First,2023/2024,MOOT
1640,Software Engineering I,CSC 215,Computer Science,200,2,First,2023/2024,MOOT
1656,Structured Programming,CSC 301,Computer Science,300,2,First,2023/2024,MOOT
1657,Object-Oriented Programming,CSC 303,Computer Science,300,2,First,2023/2024,MOOT
1658,Discrete Structure,CSC 307,Computer Science,300,2,First,2023/2024,MOOT
1659,Algorithms and Complexity Analysis,CSC 311,Computer Science,300,2,First,2023/2024,MOOT
1660,Compiler Construction I,CSC 315,Computer Science,300,2,First,2023/2024,MOOT
1661,Systems Analysis and Design,CSC 321,Computer Science,300,2,First,2023/2024,MOOT
1662,COMPUTATIONAL SCIENCE AND NUMERICAL METHODS,CSC 333,Computer Science,300,2,First,2023/2024,MOOT
1663,INTRODUCTION TO EMBEDDED SYSTEMS,CSC 325,Computer Science,300,2,First,2023/2024,MOOT
1664,Entrepreneurship Advanced Skills,GST 311,Computer Science,300,1,First,2023/2024,MOOT
1665,Game application development,CSC 319,Computer Science,300,2,First,2023/2024,MOOT
1666,Computational Science &amp; Numerical Methods,CSC 333,Computer Science,300,2,First,2023/2024,MOOT
1667,Enterprise Application Development,CSC 313,Computer Science,300,2,First,2023/2024,MOOT
1679,Data Management II,CSC 403,Computer Science,400,2,First,2023/2024,MOOT
1680,Research Methods,CSC 411,Computer Science,400,2,First,2023/2024,MOOT
1681,Net-Centric Computing,CSC 421,Computer Science,400,2,First,2023/2024,MOOT
1682,Computer Networks/Communications,CSC 423,Computer Science,400,2,First,2023/2024,MOOT
1683,Research Seminar,CSC 481,Computer Science,400,1,First,2023/2024,MOOT
1684,Modelling and Simulation,CSC 409,Computer Science,400,2,First,2023/2024,MOOT
1685,ROBOTICS AND CONTROL SYSTEMS,CSC 439,Computer Science,400,2,First,2023/2024,MOOT
1686,MOBILE APPLICATION DEVELOPMENT,CSC 417,Computer Science,400,2,First,2023/2024,MOOT
1687,SOFTWARE TESTING AND QUALITY ASSURANCE,CSC 405,Computer Science,400,2,First,2023/2024,MOOT
1696,Communication in English,GST 111,Mass Communication,100,2,First,2023/2024,MOOT
1697,Communication and Agricultural cooperative Development,VUA-MAC 113,Mass Communication,100,2,First,2023/2024,MOOT
1698,Introduction to Human Communication,CMS 101,Mass Communication,100,2,First,2023/2024,MOOT
1699,Foundation of Broadcasting and Film,mcm 101,Mass Communication,100,3,First,2023/2024,MOOT
1700,Introduction to Advertising,MCM 103,Mass Communication,100,2,First,2023/2024,MOOT
1701,Introduction to Book Publishing,MCM 105,Mass Communication,100,2,First,2023/2024,MOOT
1702,Introduction to Photojournalism,MCM 107,Mass Communication,100,2,First,2023/2024,MOOT
1703,National Communication policy Formulation and Development,VUA-MAC 115,Mass Communication,100,2,First,2023/2024,MOOT
1704,Ethics,VUA-ETH 171,Mass Communication,100,1,First,2023/2024,MOOT
1705,Introduction to Statistics I,ECO 123,Mass Communication,100,2,First,2023/2024,MOOT
1706,African Communication Systems,MAC 131,Mass Communication,100,2,First,2023/2024,MOOT
1707,Introduction to Political Science,PSD 101,Mass Communication,100,2,First,2023/2024,MOOT
1708,History and Philosophy Of Science,GST 115,Mass Communication,100,2,First,2023/2024,MOOT
1709,History of Nigerian Mass Media,MAC 121,Mass Communication,100,2,First,2023/2024,MOOT
1710,Introduction to Mass Communication,MAC 111,Mass Communication,100,2,First,2023/2024,MOOT
1724,Feature Writing,MAC 211,Mass Communication,200,2,First,2023/2024,MOOT
1725,Photo Journalism,MAC 221,Mass Communication,200,2,First,2023/2024,MOOT
1726,Integrated Marketing Communication,MAC 231,Mass Communication,200,2,First,2023/2024,MOOT
1727,News Writing and Reporting,MAC 241,Mass Communication,200,3,First,2023/2024,MOOT
1728,Theories of Communication,MAC 251,Mass Communication,200,2,First,2023/2024,MOOT
1729,Speech Communication and Performance,MAC 261,Mass Communication,200,3,First,2023/2024,MOOT
1730,Introduction To Entrepreneurial Skills,GST 223,Mass Communication,200,2,First,2023/2024,MOOT
1731,PEACE STUDY AND CONFLICT RESOLUTION,GST 221,Mass Communication,200,2,First,2023/2024,MOOT
1732,BASIC SPIRITUAL THEOLOGY,GST 211,Mass Communication,200,1,First,2023/2024,MOOT
1733,Oral Communication in French,FRE 211,Mass Communication,200,2,First,2023/2024,MOOT
1744,"Creative Advertising, Copy Writing and Media Planning",MAC 311,Mass Communication,300,3,First,2023/2024,MOOT
1745,Marketing Foundation for Advertising and Public Relations,MAC 321,Mass Communication,300,2,First,2023/2024,MOOT
1746,Issues in Nigeria Mass Media,MAC 331,Mass Communication,300,3,First,2023/2024,MOOT
1747,News Paper Management and Production,MAC 341,Mass Communication,300,3,First,2023/2024,MOOT
1748,Photography Technologies and Processes,MAC 351,Mass Communication,300,2,First,2023/2024,MOOT
1749,Communication Research,MAC 361,Mass Communication,300,3,First,2023/2024,MOOT
1750,Entrepreneurship Advanced Skills,GST 311,Mass Communication,300,2,First,2023/2024,MOOT
1760,Issues in Broadcasting,MAC 411,Mass Communication,400,2,First,2023/2024,CBT 
1761,Film Genre Differentiation,MAC 421,Mass Communication,400,2,First,2023/2024,CBT 
1762,Station Management and Operations,MAC 431,Mass Communication,400,2,First,2023/2024,CBT 
1763,Issues in Advertising &amp; Public Relations,MAC 441,Mass Communication,400,2,First,2023/2024,CBT 
1764,International Public Relations,MAC 451,Mass Communication,400,2,First,2023/2024,CBT 
1765,Advertising &amp; Public Relations Agencies,MAC 461,Mass Communication,400,2,First,2023/2024,CBT 
1766,Mass Media Law &amp; Ethics,MAC 471,Mass Communication,400,3,First,2023/2024,CBT 
1767,Data Analysis in Communication Research,MAC 481,Mass Communication,400,3,First,2023/2024,CBT 
1775,Communication in English,GST 111,Guidance And Counseling,100,2,First,2023/2024,CBT 
1776,Ethics,VUA-ETH 171,Guidance And Counseling,100,1,First,2023/2024,CBT 
1777,Introduction to Teaching and Foundations of Education,EDU 101,Guidance And Counseling,100,2,First,2023/2024,CBT 
1778,Introduction to Guidance and Counselling,GCE 101,Guidance And Counseling,100,2,First,2023/2024,CBT 
1779,Introduction to Psychology,GCE 103,Guidance And Counseling,100,2,First,2023/2024,CBT 
1780,Counselling for Effective Study Habit,VUA-GCE 105,Guidance And Counseling,100,2,First,2023/2024,CBT 
1781,Introduction to Early Childhood Education,VUA-GCE 107,Guidance And Counseling,100,2,First,2023/2024,CBT 
1782,Sources of Christianity,REL 121,Guidance And Counseling,100,2,First,2023/2024,CBT 
1783,Introduction to Religions and Intercultural Studies,REL 111,Guidance And Counseling,100,2,First,2023/2024,CBT 
1784,Introduction to Social Studies,ESS 100,Guidance And Counseling,100,2,First,2023/2024,CBT 
1785,Socio-Economic Environment in Nigeria,ESS 115,Guidance And Counseling,100,2,First,2023/2024,CBT 
1786,A Survey of English Language,ENG 101,Guidance And Counseling,100,2,First,2023/2024,CBT 
1787,Spoken English,ENG 103,Guidance And Counseling,100,2,First,2023/2024,CBT 
1788,History and Philosophy Of Science,GST 115,Guidance And Counseling,100,2,First,2023/2024,CBT 
1789,Introduction to Teaching Profession,EDU 111,Guidance And Counseling,100,2,First,2023/2024,CBT 
1790,Foundations of Education I (History and Sociology of Education),EDU 121,Guidance And Counseling,100,2,First,2023/2024,CBT 
1791,Introduction to Guidance and Counselling,GCE 111,Guidance And Counseling,100,2,First,2023/2024,CBT 
1792,Development of Guidance and Counselling,GCE 113,Guidance And Counseling,100,2,First,2023/2024,CBT 
1793,Principles and Techniques of Guidance and Counselling,GCE 121,Guidance And Counseling,100,2,First,2023/2024,CBT 
1817,Introduction To Entrepreneurial Skills,GST 223,Guidance And Counseling,200,2,First,2023/2024,CBT 
1818,Peace Studies and Conflict Resolution,GST 221,Guidance And Counseling,200,2,First,2023/2024,CBT 
1819,Basic Spiritual Theology,GST 211,Guidance And Counseling,200,1,First,2023/2024,CBT 
1820,Educational Psychology II (Human Growth &amp; Development),EDU 201,Guidance And Counseling,200,2,First,2023/2024,CBT 
1821,Curriculum Theory and Instruction,EDU 203,Guidance And Counseling,200,2,First,2023/2024,CBT 
1822,Adolescence Psychology and Guidance and Counselling,GCE 211,Guidance And Counseling,200,2,First,2023/2024,CBT 
1823,Counselling for Special Needs,GCE 213,Guidance And Counseling,200,2,First,2023/2024,CBT 
1824,Theories of Counselling,GCE 221,Guidance And Counseling,200,2,First,2023/2024,CBT 
1825,Introduction to Phonetics and Phonology,ELS 211,Guidance And Counseling,200,2,First,2023/2024,CBT 
1826,Advanced English Composition 1,ELS 271,Guidance And Counseling,200,2,First,2023/2024,CBT 
1827,History of English Language,ELS 221,Guidance And Counseling,200,2,First,2023/2024,CBT 
1828,Nigerian Socio- Political Institutions,SSE 221,Guidance And Counseling,200,3,First,2023/2024,CBT 
1829,Problems of Ethics and Value Education,SSE 211,Guidance And Counseling,200,3,First,2023/2024,CBT 
1830,Introduction to the New Testament,REL 221,Guidance And Counseling,200,2,First,2023/2024,CBT 
1831,Biblical Hebrew I,REL 271,Guidance And Counseling,200,2,First,2023/2024,CBT 
1832,History of Christianity in West Africa,REL 281,Guidance And Counseling,200,2,First,2023/2024,CBT 
1833,Comparative Religion,REL 241,Guidance And Counseling,200,2,First,2023/2024,CBT 
1854,Entrepreneurship Advanced Skills,GST 311,Guidance And Counseling,300,2,First,2023/2024,CBT 
1855,Teaching Practice I/ Internship/ Practicum I,EDU 300,Guidance And Counseling,300,3,First,2023/2024,CBT 
1856,Test and Measurements,EDU 301,Guidance And Counseling,300,2,First,2023/2024,CBT 
1857,Subject Methodology II,EDU 303,Guidance And Counseling,300,2,First,2023/2024,CBT 
1858,Subject Teaching Methodology II,EDU 307,Guidance And Counseling,300,2,First,2023/2024,CBT 
1859,Subject Teaching Methodology II (Social Studies),EDU 311,Guidance And Counseling,300,2,First,2023/2024,CBT 
1860,Subject Teaching Methodology 11 ( Science),EDU 317,Guidance And Counseling,300,2,First,2023/2024,CBT 
1861,Teaching Methodology 11 ( Arts and Religion),EDU 319,Guidance And Counseling,300,2,First,2023/2024,CBT 
1862,Educational Technology,EDU 305,Guidance And Counseling,300,2,First,2023/2024,CBT 
1863,Organization of Guidance and Counselling in Schools,GCE 311,Guidance And Counseling,300,2,First,2023/2024,CBT 
1864,"Occupational Information, Job Analysis and Job Evaluation",GCE 313,Guidance And Counseling,300,2,First,2023/2024,CBT 
1865,Abnormal Psychology and Career Guidance &amp; Counselling,GCE 315,Guidance And Counseling,300,2,First,2023/2024,CBT 
1866,Practicum in Guidance and Counseling I,GCE 307,Guidance And Counseling,300,2,First,2023/2024,CBT 
1867,Nationalism and Patriotism in Nigeria,SSE 321,Guidance And Counseling,300,3,First,2023/2024,CBT 
1868,Finance and Financial Institution in Nigeria.,SSE 313,Guidance And Counseling,300,2,First,2023/2024,CBT 
1869,New Testament Studies II,REL 311,Guidance And Counseling,300,2,First,2023/2024,CBT 
1870,Old Testament Studies I,REL 371,Guidance And Counseling,300,2,First,2023/2024,CBT 
1871,New Testament Studies II,REL 311,Guidance And Counseling,300,2,First,2023/2024,CBT 
1872,History of the Reformation,REL 331,Guidance And Counseling,300,1,First,2023/2024,CBT 
1873,Old Testament Studies I,REL 371,Guidance And Counseling,300,2,First,2023/2024,CBT 
1874,Semantics of English,ELS 321,Guidance And Counseling,300,3,First,2023/2024,CBT 
1875,Discourse Analysis,ELS 341,Guidance And Counseling,300,2,First,2023/2024,CBT 
1892,Teaching Practice/Practicum II,EDU 400,Guidance And Counseling,400,3,First,2023/2024,CBT 
1893,Guidance and Counselling,EDU 401,Guidance And Counseling,400,2,First,2023/2024,CBT 
1894,Practice of Educational Management,EDU 405,Guidance And Counseling,400,2,First,2023/2024,CBT 
1895,Practicum in Guidance and Counselling II,GCE 413,Guidance And Counseling,400,2,First,2023/2024,CBT 
1896,Psychology of Deviant Development,GCE 415,Guidance And Counseling,400,2,First,2023/2024,CBT 
1897,Introduction to Culture and Psycho-Pathology,GCE 417,Guidance And Counseling,400,2,First,2023/2024,CBT 
1898,Social Issues as Emerging Priorities of Social Studies Education,SSE 413,Guidance And Counseling,400,3,First,2023/2024,CBT 
1899,Social life &amp; Party politics in Nigeria,SSE 421,Guidance And Counseling,400,3,First,2023/2024,CBT 
1900,English for Specific Purposes,ELS 421,Guidance And Counseling,400,2,First,2023/2024,CBT 
1901,Psycholinguistics,ELS 431,Guidance And Counseling,400,2,First,2023/2024,CBT 
1902,Teaching English as a Second Language,EEN 401,Guidance And Counseling,400,2,First,2023/2024,CBT 
1903,New Trends in English Syntax,ELS 411,Guidance And Counseling,400,2,First,2023/2024,CBT 
1904,Old Testament Studies II,REL 441,Guidance And Counseling,400,2,First,2023/2024,CBT 
1905,Nigerian Church History,REL 421,Guidance And Counseling,400,2,First,2023/2024,CBT 
1906,The Writing of the Old and New Testaments,REL 411,Guidance And Counseling,400,2,First,2023/2024,CBT 
1918,COMMUNICATION IN ENGLISH,GST 111,Biochemistry,100,2,First,2023/2024,CBT 
1919,ELEMENTARY MATHEMATICS,MTH 101,Biochemistry,100,2,First,2023/2024,CBT 
1920,Introduction to Computer Science,CSC 101,Biochemistry,100,3,First,2023/2024,CBT 
1921,GENERAL BIOLOGY,BIO 101,Biochemistry,100,2,First,2023/2024,CBT 
1922,GENERAL BIOLOGY PRACTICAL,BIO 103,Biochemistry,100,3,First,2023/2024,CBT 
1923,GENERAL CHEMISTRY,CHM 101,Biochemistry,100,2,First,2023/2024,CBT 
1924,GENERAL CHEMISTRY PRACTICAL,CHM 103,Biochemistry,100,1,First,2023/2024,CBT 
1925,GENERAL PHYSICS,PHY 101,Biochemistry,100,2,First,2023/2024,CBT 
1926,GENERAL PHYSICS PRACTICALS,PHY 107,Biochemistry,100,1,First,2023/2024,CBT 
1927,Ethics,VUA-ETH 171,Biochemistry,100,1,First,2023/2024,CBT 
1928,HISTORY AND PROSPECTS OF BIOCHEMISTRY,VUA-BCH 111,Biochemistry,100,3,First,2023/2024,CBT 
1940,Peace Studies and Conflict Resolution,GST 221,Biochemistry,200,2,First,2023/2024,CBT 
1941,Organic Chemistry 1,CHM 221,Biochemistry,200,3,First,2023/2024,CBT 
1942,Inorganic Chemistry I,CHM 231,Biochemistry,200,3,First,2023/2024,CBT 
1943,Basic Spiritual Theology,GST 211,Biochemistry,200,1,First,2023/2024,CBT 
1944,INTRODUCTION TO BIOCHEMISTRY,BCH 201,Biochemistry,200,3,First,2023/2024,CBT 
1945,Physical Chemistry 1,CHM 241,Biochemistry,200,3,First,2023/2024,CBT 
1946,Genetics,BIO 211,Biochemistry,200,2,First,2023/2024,CBT 
1947,INTRODUCTION TO ENTREPRENEURSHIP,GST 223,Biochemistry,200,2,First,2023/2024,CBT 
1948,Biological Techniques,BIO 241,Biochemistry,200,2,First,2023/2024,CBT 
1949,Organic Chemistry 1,CHM 221,Biochemistry,200,3,First,2023/2024,CBT 
1950,Physical Chemistry 1,CHM 241,Biochemistry,200,3,First,2023/2024,CBT 
1958,Introductory Enzymology,BCH 301,Biochemistry,300,3,First,2023/2024,CBT 
1959,Metabolism of Carbohydrates,BCH 303,Biochemistry,300,2,First,2023/2024,CBT 
1960,Metabolism of Lipids,BCH 307,Biochemistry,300,2,First,2023/2024,CBT 
1961,Metabolism of Amino Acids &amp; Proteins,BCH 305,Biochemistry,300,2,First,2023/2024,CBT 
1962,Metabolism of Nucleic Acids,BCH 309,Biochemistry,300,2,First,2023/2024,CBT 
1963,Membrane Biochemistry,BCH 311,Biochemistry,300,1,First,2023/2024,CBT 
1964,Bioenergetics,BCH 313,Biochemistry,300,1,First,2023/2024,CBT 
1965,Analytical Methods in Biochemistry,BCH 315,Biochemistry,300,3,First,2023/2024,CBT 
1966,Microbial Physiology And Metabolism,MCB 431,Biochemistry,300,3,First,2023/2024,CBT 
1967,Introduction to Entrepreneurship Studies,GST 311,Biochemistry,300,2,First,2023/2024,CBT 
1968,TOXICOLOGICAL BIOCHEMISTRY,BCH 304,Biochemistry,300,3,First,2023/2024,CBT 
1978,Advanced Enzymology,BCH 411,Biochemistry,400,2,First,2023/2024,CBT 
1979,Bioinorganic Biochemistry,BCH 415,Biochemistry,400,1,First,2023/2024,CBT 
1980,Molecular Biology &amp; Genetic Engineering,BCH 421,Biochemistry,400,3,First,2023/2024,CBT 
1981,Research Methods &amp; Biochemical Reasoning,BCH 401,Biochemistry,400,3,First,2023/2024,CBT 
1982,Metabolic Regulations,BCH 461,Biochemistry,400,2,First,2023/2024,CBT 
1983,Biosynthesis of Macromolecules,BCH 441,Biochemistry,400,1,First,2023/2024,CBT 
1984,Advanced Biochemical Methods &amp;Instrumentation,BCH 471,Biochemistry,400,2,First,2023/2024,CBT 
1985,Toxicology,BCH 431,Biochemistry,400,3,First,2023/2024,CBT 
1986,Forensic Biochemistry,BCH 451,Biochemistry,400,3,First,2023/2024,CBT 
1987,Tissue Biochemistry,BCH 413,Biochemistry,400,1,First,2023/2024,CBT 
1995,Communication in English,GST 111,Religious Studies,100,2,First,2023/2024,CBT 
1996,Communication in English,GST 111,Religious Studies,100,2,First,2023/2024,CBT 
1997,Nigerian People and Culture,GST 113,Religious Studies,100,2,First,2023/2024,CBT 
1998,History and Philosophy Of Science,GST 115,Religious Studies,100,2,First,2023/2024,CBT 
1999,"Use of Library, Study Skills and ICT",GST 121,Religious Studies,100,2,First,2023/2024,CBT 
2000,ETHICS I,GST 171,Religious Studies,100,2,First,2023/2024,CBT 
2001,Introduction to Religions and Intercultural Studies,REL 111,Religious Studies,100,2,First,2023/2024,CBT 
2002,Sources of Christianity,REL 121,Religious Studies,100,2,First,2023/2024,CBT 
2003,Survey of African Traditional Religion,REL 131,Religious Studies,100,2,First,2023/2024,CBT 
2004,Sources of Islam,REL 141,Religious Studies,100,2,First,2023/2024,CBT 
2005,Introduction to Social Anthropology of Religion,REL 151,Religious Studies,100,2,First,2023/2024,CBT 
2006,Fundamental Greek,REL 161,Religious Studies,100,2,First,2023/2024,CBT 
2007,Introduction to Hummanties,HUM 111,Religious Studies,100,2,First,2023/2024,CBT 
2033,BASIC SPIRITUAL THEOLOGY,GST 211,Religious Studies,200,2,First,2023/2024,CBT 
2034,PEACE STUDY AND CONFLICT RESOLUTION,GST 221,Religious Studies,200,2,First,2023/2024,CBT 
2035,Introduction To Entrepreneurial Skills,GST 223,Religious Studies,200,2,First,2023/2024,CBT 
2036,Definition of Religion: A Variety,REL 2111,Religious Studies,200,2,First,2023/2024,CBT 
2037,Introduction to the New Testament,REL 221,Religious Studies,200,2,First,2023/2024,CBT 
2038,Introduction to the Glorious Quran,REL 231,Religious Studies,200,2,First,2023/2024,CBT 
2039,Introducing Comparative Religion,REL 241,Religious Studies,200,2,First,2023/2024,CBT 
2040,Introducing Sociology of Religion,REL 251,Religious Studies,200,2,First,2023/2024,CBT 
2041,Theories of Religion,REL 261,Religious Studies,200,2,First,2023/2024,CBT 
2042,Biblical Hebrew I,REL 271,Religious Studies,200,2,First,2023/2024,CBT 
2043,History of Christianity in West Africa,REL 281,Religious Studies,200,2,First,2023/2024,CBT 
2044,Religion and Human Sexuality,REL 291,Religious Studies,200,2,First,2023/2024,CBT 
2058,Advanced Entrepreneurial Skill,GST 311,Religious Studies,300,2,First,2023/2024,CBT 
2059,New Testament Studies II,REL 311,Religious Studies,300,2,First,2023/2024,CBT 
2060,The Four Orthodox Caliphs in Islam,REL 321,Religious Studies,300,2,First,2023/2024,CBT 
2061,History of the Reformation,REL 331,Religious Studies,300,2,First,2023/2024,CBT 
2062,Research Methods,REL 341,Religious Studies,300,2,First,2023/2024,CBT 
2063,The Spirit World of the African,REL 351,Religious Studies,300,2,First,2023/2024,CBT 
2064,The Religion of China: Taoism,REL 361,Religious Studies,300,2,First,2023/2024,CBT 
2065,Old Testament Studies I,REL 371,Religious Studies,300,2,First,2023/2024,CBT 
2066,Bio-medical Ethics,REL 391,Religious Studies,300,2,First,2023/2024,CBT 
2067,"Religion, Conflict and Peace I",REL 301,Religious Studies,300,2,First,2023/2024,CBT 
2068,International Politics (Elective-E),HIR 333,Religious Studies,300,2,First,2023/2024,CBT 
2069,Religion and Cultural Tourism,REL 381,Religious Studies,300,2,First,2023/2024,CBT 
2084,Nigerian Church History,REL 421,Religious Studies,400,2,First,2023/2024,CBT 
2085,The Writing of the Old and New Testaments,REL 411,Religious Studies,400,2,First,2023/2024,CBT 
2086,Islamic Theology,REL 431,Religious Studies,400,2,First,2023/2024,CBT 
2087,The Supreme Being in African Traditional Religion,REL 451,Religious Studies,400,2,First,2023/2024,CBT 
2088,Old Testament Studies II,REL 441,Religious Studies,400,2,First,2023/2024,CBT 
2089,"Religion, Conflict and Peace II",REL 461,Religious Studies,400,2,First,2023/2024,CBT 
2090,"Religion, Culture and International Religion",REL 471,Religious Studies,400,2,First,2023/2024,CBT 
2091,Seminar on Contemporary Issues in Religion and Intercultural Studies,REL 481,Religious Studies,400,2,First,2023/2024,CBT 
2106,Introduction to Finance,FIN 101,Banking And Finance,100,3,First,2023/2024,CBT 
2107,Communication In English,GST 111,Banking And Finance,100,2,First,2023/2024,CBT 
2108,Principles of Management,AMS 101,Banking And Finance,100,2,First,2023/2024,CBT 
2109,Introduction to Computers,AMS 103,Banking And Finance,100,2,First,2023/2024,CBT 
2110,Ethics,VUA-ETH 171,Banking And Finance,100,1,First,2023/2024,CBT 
2111,Accounting of Banking and Finance,VUA-FIN-101,Banking And Finance,100,3,First,2023/2024,CBT 
2112,Economics of Banking and Finance,VUA-FIN-103,Banking And Finance,100,3,First,2023/2024,CBT 
2120,Peace Studies and Conflict Resolution,GST 221,Banking And Finance,200,2,First,2023/2024,CBT 
2121,Introduction To Entrepreneurial Skills,GST 223,Banking And Finance,200,2,First,2023/2024,CBT 
2122,Basic Spiritual Theology,GST 211,Banking And Finance,200,2,First,2023/2024,CBT 
2123,Financial Systems,BAF 201,Banking And Finance,200,3,First,2023/2024,CBT 
2124,Practice of Banking I,BAF 211,Banking And Finance,200,3,First,2023/2024,CBT 
2125,Financial Accounting &amp; Reporting I,ACC 201,Banking And Finance,200,3,First,2023/2024,CBT 
2126,Business Statistics I,BUS 201,Banking And Finance,200,2,First,2023/2024,CBT 
2127,Introduction to Microeconomic Theory I,ECO 201,Banking And Finance,200,2,First,2023/2024,CBT 
2128,Introductory Macro-Economic Theory I,ECO 211,Banking And Finance,200,2,First,2023/2024,CBT 
2137,Practice of Banking II,BAF 301,Banking And Finance,300,3,First,2023/2024,CBT 
2138,Banking Laws and Regulations,BAF 311,Banking And Finance,300,2,First,2023/2024,CBT 
2139,Monetary Theory and Policy,BAF 321,Banking And Finance,300,3,First,2023/2024,CBT 
2140,Public Finance,BAF 351,Banking And Finance,300,3,First,2023/2024,CBT 
2141,Elements of Management,BUS 311,Banking And Finance,300,3,First,2023/2024,CBT 
2142,Advanced Entrepreneurial Skill,GST 311,Banking And Finance,300,2,First,2023/2024,CBT 
2154,Bank Lending and Loan Administration,BAF 421,Banking And Finance,400,3,First,2023/2024,CBT 
2155,Financial Management,BAF 431,Banking And Finance,400,3,First,2023/2024,CBT 
2156,Business Policy and Strategy I,BUS 401,Banking And Finance,400,3,First,2023/2024,CBT 
2157,Monetary Economics,BAF 441,Banking And Finance,400,3,First,2023/2024,CBT 
2158,Project Evaluation,BAF 451,Banking And Finance,400,3,First,2023/2024,CBT 
2159,Marketing of Financial Services,BAF 401,Banking And Finance,400,3,First,2023/2024,CBT 
2166,Introduction to Peace Studies 1,PCR 101,Peace And Conflict Studies,100,2,First,2023/2024,CBT 
2167,Introduction to Psychology,PCR 103,Peace And Conflict Studies,100,2,First,2023/2024,CBT 
2168,Introduction to Political Science,PCR 105,Peace And Conflict Studies,100,2,First,2023/2024,CBT 
2169,Institutional Violence and Peacekeeping,VUA-PCS 107,Peace And Conflict Studies,100,2,First,2023/2024,CBT 
2170,Leadership Studies 1,VUA-PCS 109,Peace And Conflict Studies,100,2,First,2023/2024,CBT 
2171,Communication In English,GST 111,Peace And Conflict Studies,100,2,First,2023/2024,CBT 
2172,Ethics,VUA-ETH 171,Peace And Conflict Studies,100,1,First,2023/2024,CBT 
2173,"Religion, Ethnicity, Gender and Culture",PCS 107,Peace And Conflict Studies,100,2,First,2023/2024,CBT 
2174,Ethics In Conflict Resolution,PCS 108,Peace And Conflict Studies,100,2,First,2023/2024,CBT 
2175,Introduction to International Organizations,PCS 106,Peace And Conflict Studies,100,2,First,2023/2024,CBT 
2176,Introduction to Justice and Human Rights,PCS 105,Peace And Conflict Studies,100,2,First,2023/2024,LCR2
2177,"Religion, Ethnicity, Gender and Culture",PCS 107,Peace And Conflict Studies,100,2,First,2023/2024,LCR2
2178,Nigerian Legal System,LAW 101,Peace And Conflict Studies,100,2,First,2023/2024,LCR2
2187,International Organizations in Peace and Conflict Studies,PCS 201,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2188,Introduction to Peace Processes and Peace-building,PCS 203,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2189,"Nationalism, Ethnicity and Conflicts",PCS 205,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2190,Effect and Cost of Conflict,PCS 211,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2191,"Media, Peace and Conflict",PCS 213,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2192,Nigerian Government &amp; Politics I,PSD 241,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2193,Introduction to International Relations,PSD 211,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2194,Integrated Marketing Communication,MAC 231,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2195,BASIC SPIRITUAL THEOLOGY,GST 211,Peace And Conflict Studies,200,0,First,2023/2024,LCR2
2196,PEACE STUDY AND CONFLICT RESOLUTION,GST 221,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2197,Oral Communication in French,FRE 211,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2198,INTRODUCTION TO ENTREPRENEURSHIP,GST 223,Peace And Conflict Studies,200,2,First,2023/2024,LCR2
2199,BASIC SPIRITUAL THEOLOGY,GST 211,Peace And Conflict Studies,200,1,First,2023/2024,LCR2
2200,BASIC SPIRITUAL THEOLOGY,GST 211,Peace And Conflict Studies,200,1,First,2023/2024,LCR2
2212,Entrepreneurship Advanced Skills,GST 311,Peace And Conflict Studies,300,2,First,2023/2024,LCR2
2213,Gender in War and Peace,PCS 301,Peace And Conflict Studies,300,2,First,2023/2024,LCR2
2214,"The Media, Information Management and Conflicts",PCS 303,Peace And Conflict Studies,300,2,First,2023/2024,LCR2
2215,World Wars,PCS 307,Peace And Conflict Studies,300,2,First,2023/2024,LCR2
2216,Justice and Conflict,PCS 311,Peace And Conflict Studies,300,2,First,2023/2024,LCR2
2217,Regional Security and Law Enforcement,PCS 313,Peace And Conflict Studies,300,2,First,2023/2024,LCR2
2218,Conflict Resolution: Theory and Practice,PCS 364,Peace And Conflict Studies,300,2,First,2023/2024,LCR2
